Run,Assay Type,BioSample,Center Name,Consent,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,Library Name,AvgSpotLen,Bases,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,create_date,version,BioProject,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),ENA-STATUS-ID (exp),ENA-STATUS-ID (run),geographic_location_(country_and/or_sea),Scientific_Name,isolation_source,Sample_name,INSDC_center_name,Submitter_Id,Depth,geographic_location_(region_and_locality),control_sample,replicate_id,volume,filtration_device,ENA_first_public,INSDC_status,geo_loc_name,BioSampleModel,lat_lon,environment_(biome),HOST,broad-scale_environmental_context,environmental_medium,geographic_location_(latitude),geographic_location_(longitude),local_environmental_context,project_name,organism,elevation,Broker_name,altitude,ENA-CHECKLIST,EXPERIMENT_TYPE (exp),forward_primer_name (exp),forward_primer_sequence (exp),insert_size (exp),pcr_primer_reference_forward (exp),pcr_primer_reference_reverse (exp),reverse_primer_name (exp),reverse_primer_sequence (exp),source_material_identifiers,target_gene (exp),target_taxonomic_assay (exp),env_broad_scale,env_local_scale,env_medium,host_subject_id,Host_Age,isolate,library_id,host_sex,sample_title,source_material_id,treatment,replicate,samp_collect_device,tmp,sample_storage_temperature,Unique_sample,bioproject_id,Description,purpose_of_ww_sampling,sequenced_by,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_system_sample_id,ww_surv_target_1_known_present,ww_surv_target_1,target_gene,target_subfragment,batch,amplicon_PCR_primer_scheme (run),concentration_method,enrichment_kit (run),extraction_control,extraction_method,ww_sample_site,ww_surv_jurisdiction,ww_surv_target_1_conc,ww_surv_target_1_conc_unit,ww_surv_target_1_gene,community,compound,CompoundGroup,Concentration,region_length,target_primer_forward,target_primer_reverse,sample_location,Sample_num,sample_plate,sample_well,sequence_run,library_type,sample_group (run),sample_type (run),dehosting_method (run),samp_size,ecotype,age,Donor,host_scientific_name,host_taxid,mouse,sample_type,sort,mouse_genotype,isol_growth_condt,elev,strain,tissue,sex,rel_to_oxygen,sampleID,sample_ID
DRR538767,AMPLICON,SAMD00759518,NIHON UNIVERSITY,public,DRX522586,Illumina MiSeq,PAIRED,PCR,METAGENOMIC,root metagenome,ILLUMINA,2026-03-23T00:00:00Z,SAMD00759518,DRP017242,2019-07-25,Japan,Asia,Bacterial metagenome isolated from maize roots 1,585,37639614,21070015,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-03-23T16:08:00Z,1,,,,,,,,,Tillage exp root sample 1,,,,,,,,,,,"Japan:Kanagawa\, Fujisawa\, agricultural field",,35.22 N 139.27 E,,Zea mays,,,,,,"Analysis of sequences collected from maize root in no tillage\, 2019 rep 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR538768,AMPLICON,SAMD00759519,NIHON UNIVERSITY,public,DRX522587,Illumina MiSeq,PAIRED,PCR,METAGENOMIC,root metagenome,ILLUMINA,2026-03-23T00:00:00Z,SAMD00759519,DRP017242,2019-07-25,Japan,Asia,Bacterial metagenome isolated from maize roots 2,585,35490827,19654746,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-03-23T16:08:00Z,1,,,,,,,,,Tillage exp root sample 2,,,,,,,,,,,"Japan:Kanagawa\, Fujisawa\, agricultural field",,35.22 N 139.27 E,,Zea mays,,,,,,"Analysis of sequences collected from maize root in no tillage\, 2019 rep 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR538769,AMPLICON,SAMD00759520,NIHON UNIVERSITY,public,DRX522588,Illumina MiSeq,PAIRED,PCR,METAGENOMIC,root metagenome,ILLUMINA,2026-03-23T00:00:00Z,SAMD00759520,DRP017242,2019-07-25,Japan,Asia,Bacterial metagenome isolated from maize roots 3,584,42249245,23515954,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-03-23T16:08:00Z,1,,,,,,,,,Tillage exp root sample 3,,,,,,,,,,,"Japan:Kanagawa\, Fujisawa\, agricultural field",,35.22 N 139.27 E,,Zea mays,,,,,,"Analysis of sequences collected from maize root in no tillage\, 2019 rep 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR538770,AMPLICON,SAMD00759521,NIHON UNIVERSITY,public,DRX522589,Illumina MiSeq,PAIRED,PCR,METAGENOMIC,root metagenome,ILLUMINA,2026-03-23T00:00:00Z,SAMD00759521,DRP017242,2019-07-25,Japan,Asia,Bacterial metagenome isolated from maize roots 4,586,40585339,22551843,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-03-23T16:09:00Z,1,,,,,,,,,Tillage exp root sample 4,,,,,,,,,,,"Japan:Kanagawa\, Fujisawa\, agricultural field",,35.22 N 139.27 E,,Zea mays,,,,,,"Analysis of sequences collected from maize root in rotary tillage\, 2019 rep 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR538771,AMPLICON,SAMD00759522,NIHON UNIVERSITY,public,DRX522590,Illumina MiSeq,PAIRED,PCR,METAGENOMIC,root metagenome,ILLUMINA,2026-03-23T00:00:00Z,SAMD00759522,DRP017242,2019-07-25,Japan,Asia,Bacterial metagenome isolated from maize roots 5,585,36484064,20142987,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-03-23T16:09:00Z,1,,,,,,,,,Tillage exp root sample 5,,,,,,,,,,,"Japan:Kanagawa\, Fujisawa\, agricultural field",,35.22 N 139.27 E,,Zea mays,,,,,,"Analysis of sequences collected from maize root in rotary tillage\, 2019 rep 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR538772,AMPLICON,SAMD00759523,NIHON UNIVERSITY,public,DRX522591,Illumina MiSeq,PAIRED,PCR,METAGENOMIC,root metagenome,ILLUMINA,2026-03-23T00:00:00Z,SAMD00759523,DRP017242,2019-07-25,Japan,Asia,Bacterial metagenome isolated from maize roots 6,586,36344719,20079059,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-03-23T16:09:00Z,1,,,,,,,,,Tillage exp root sample 6,,,,,,,,,,,"Japan:Kanagawa\, Fujisawa\, agricultural field",,35.22 N 139.27 E,,Zea mays,,,,,,"Analysis of sequences collected from maize root in rotary tillage\, 2019 rep 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR538773,AMPLICON,SAMD00759524,NIHON UNIVERSITY,public,DRX522592,Illumina MiSeq,PAIRED,PCR,METAGENOMIC,root metagenome,ILLUMINA,2026-03-23T00:00:00Z,SAMD00759524,DRP017242,2020-07-23,Japan,Asia,Bacterial metagenome isolated from maize roots 7,585,47077571,24959713,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-03-23T16:09:00Z,1,,,,,,,,,Tillage exp root sample 7,,,,,,,,,,,"Japan:Kanagawa\, Fujisawa\, agricultural field",,35.22 N 139.27 E,,Zea mays,,,,,,"Analysis of sequences collected from maize root in no tillage\, 2020 rep 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR538774,AMPLICON,SAMD00759525,NIHON UNIVERSITY,public,DRX522593,Illumina MiSeq,PAIRED,PCR,METAGENOMIC,root metagenome,ILLUMINA,2026-03-23T00:00:00Z,SAMD00759525,DRP017242,2020-07-23,Japan,Asia,Bacterial metagenome isolated from maize roots 8,585,51411436,27824452,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-03-23T16:09:00Z,1,,,,,,,,,Tillage exp root sample 8,,,,,,,,,,,"Japan:Kanagawa\, Fujisawa\, agricultural field",,35.22 N 139.27 E,,Zea mays,,,,,,"Analysis of sequences collected from maize root in no tillage\, 2020 rep 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR538775,AMPLICON,SAMD00759526,NIHON UNIVERSITY,public,DRX522594,Illumina MiSeq,PAIRED,PCR,METAGENOMIC,root metagenome,ILLUMINA,2026-03-23T00:00:00Z,SAMD00759526,DRP017242,2020-07-23,Japan,Asia,Bacterial metagenome isolated from maize roots 9,585,50947812,27297467,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-03-23T16:09:00Z,1,,,,,,,,,Tillage exp root sample 9,,,,,,,,,,,"Japan:Kanagawa\, Fujisawa\, agricultural field",,35.22 N 139.27 E,,Zea mays,,,,,,"Analysis of sequences collected from maize root in no tillage\, 2020 rep 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR538776,AMPLICON,SAMD00759527,NIHON UNIVERSITY,public,DRX522595,Illumina MiSeq,PAIRED,PCR,METAGENOMIC,root metagenome,ILLUMINA,2026-03-23T00:00:00Z,SAMD00759527,DRP017242,2020-07-23,Japan,Asia,Bacterial metagenome isolated from maize roots 10,586,49118061,26149901,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",2026-03-23T16:08:00Z,1,,,,,,,,,Tillage exp root sample 10,,,,,,,,,,,"Japan:Kanagawa\, Fujisawa\, agricultural field",,35.22 N 139.27 E,,Zea mays,,,,,,"Analysis of sequences collected from maize root in rotary tillage\, 2020 rep 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
